Date;High;Low;Open;Close;Volume;Adj Close;Stock;LastPrice;PctReturn;LogReturn;IFR_2;IFR
2022-08-04;106161.5625;103776.7109375;103776.7109375;105892.21875;0.0;105892.21875;^BVSP;103775.0;0.02040201156347865;0.020196678631556036;91.45063349785025;75.76148209377814
2022-08-04;0.0;0.0;0.0;67.12999725341797;0.0;67.12999725341797;VALE3.SA;67.5199966430664;-0.005776057598315787;-0.005792803533798326;27.179901242529027;35.31581579207088
2022-08-04;0.0;0.0;0.0;2.950000047683716;0.0;2.950000047683716;VIIA3.SA;2.619999885559082;0.12595426585456315;0.1186309124224349;87.797913424979;69.45067430578041
2022-08-04;0.0;0.0;0.0;34.209999084472656;0.0;34.209999084472656;PETR4.SA;33.849998474121094;0.010635173606486026;0.01057901794691321;87.91018672265946;80.76498495521611
2022-08-04;18.280000686645508;18.280000686645508;0.0;18.280000686645508;0.0;18.280000686645508;BBDC4.SA;17.950000762939453;0.018384396082444132;0.018217446150790028;96.0508907869577;71.18598420961537
2022-08-04;0.0;0.0;0.0;24.469999313354492;0.0;24.469999313354492;ITUB4.SA;23.889999389648438;0.02427793798761546;0.0239879136045668;92.08138519891297;70.93752831703878
2022-08-04;0.0;0.0;0.0;3.3399999141693115;0.0;3.3399999141693115;MGLU3.SA;2.930000066757202;0.13993168534834877;0.13096833547779418;92.31876644830682;70.74481651316296
2022-08-04;2.5;2.5;0.0;2.5;0.0;2.5;COGN3.SA;2.380000114440918;0.0504201175583856;0.049190196106353674;92.87263916531978;68.6330244812747
2022-08-04;11.899999618530273;11.899999618530273;0.0;11.899999618530273;0.0;11.899999618530273;B3SA3.SA;11.15999984741211;0.06630822412508919;0.06420242478078884;88.31283251939713;69.29829760044865
2022-08-04;37.099998474121094;37.099998474121094;0.0;37.099998474121094;0.0;37.099998474121094;BBAS3.SA;36.40999984741211;0.01895080004396177;0.01877347048805877;89.66983593601803;77.91127963240979
2022-08-04;0.0;0.0;0.0;2.2300000190734863;0.0;2.2300000190734863;IRBR3.SA;2.119999885559082;0.051886858232256694;0.050585559322805784;92.61429698611849;62.30812168280689
2022-08-04;0.0;0.0;0.0;14.680000305175781;0.0;14.680000305175781;ABEV3.SA;14.630000114440918;0.003417648007091323;0.0034118211205317324;43.01198502547409;54.23721170754223
2022-08-04;0.0;0.0;0.0;0.550000011920929;0.0;0.550000011920929;OIBR3.SA;0.5;0.10000002384185791;0.0953102014787409;88.59738867977086;66.169379963295
2022-08-04;0.0;0.0;0.0;13.4399995803833;0.0;13.4399995803833;AZUL4.SA;12.15999984741211;0.10526313725600911;0.10008343988384774;89.8295146580484;65.82849906097086
2022-08-04;4.949999809265137;4.949999809265137;0.0;4.949999809265137;0.0;4.949999809265137;CIEL3.SA;4.849999904632568;0.02061853744307318;0.020408852762298833;94.20148676142377;82.09301963150513
2022-08-04;0.0;0.0;0.0;36.880001068115234;0.0;36.880001068115234;PETR3.SA;36.31999969482422;0.015418540143072201;0.015300882319626907;81.49359843574;77.03076014259562
2022-08-04;0.0;0.0;0.0;31.469999313354492;0.0;31.469999313354492;JBSS3.SA;31.700000762939453;-0.007255566058340768;-0.00728201569346012;30.44661131344843;47.54076728341874
2022-08-04;24.549999237060547;24.549999237060547;0.0;24.549999237060547;0.0;24.549999237060547;BPAC11.SA;23.139999389648438;0.06093344358698927;0.059149127774507475;91.6391840005351;71.34707129067458
2022-08-04;0.0;0.0;0.0;62.13999938964844;0.0;62.13999938964844;RENT3.SA;59.220001220703125;0.04930763439303165;0.04813055085623414;95.41542001916687;80.76862860516269
2022-08-04;0.0;0.0;0.0;8.890000343322754;0.0;8.890000343322754;ITSA4.SA;8.6899995803833;0.02301504863025916;0.022754197154802588;89.4415906059597;69.16418590895196
2022-08-04;0.0;0.0;0.0;28.809999465942383;0.0;28.809999465942383;WEGE3.SA;28.1200008392334;0.02453764602120101;0.02424143377202706;81.799435300019;69.0921755474264
2022-08-04;0.0;0.0;0.0;28.25;0.0;28.25;LREN3.SA;27.260000228881836;0.03631693920784573;0.03567302292781113;92.76034941315741;76.28934310359787
2022-08-04;0.0;0.0;0.0;47.18000030517578;0.0;47.18000030517578;SUZB3.SA;47.33000183105469;-0.0031692693867695354;-0.0031743021572759413;42.99907563352513;50.45413505720361
2022-08-04;0.0;0.0;0.0;24.149999618530273;0.0;24.149999618530273;GGBR4.SA;23.40999984741211;0.03161041332514003;0.031121089317978738;56.13863111556468;53.13852866286975
2022-08-04;0.0;0.0;0.0;10.0;0.0;10.0;GOLL4.SA;8.710000038146973;0.14810562068923616;0.13811329774995895;89.68041643884679;68.82824883312684
2022-08-04;0.0;0.0;0.0;46.84000015258789;0.0;46.84000015258789;SBSP3.SA;45.40999984741211;0.0314908678700927;0.03100520023752422;98.17947968724745;81.35179436856804
2022-08-04;16.690000534057617;16.690000534057617;0.0;16.690000534057617;0.0;16.690000534057617;BRFS3.SA;17.030000686645508;-0.01996477621134274;-0.020166765321953706;54.19014051806031;60.83159699618822
2022-08-04;14.930000305175781;14.930000305175781;0.0;14.930000305175781;0.0;14.930000305175781;CYRE3.SA;13.399999618530273;0.11417915897025366;0.10811795350256428;90.80338942241448;78.30416309926244
2022-08-04;0.0;0.0;0.0;18.479999542236328;0.0;18.479999542236328;RAIL3.SA;17.959999084472656;0.028953256362537205;0.028542029544634008;99.66443106693545;88.63492107058963
2022-08-04;0.0;0.0;0.0;25.65999984741211;0.0;25.65999984741211;EQTL3.SA;25.0;0.026399993896484286;0.02605752837276221;97.96320457235886;83.10370108089788
