Date;High;Low;Open;Close;Volume;Adj Close;LastPrice;PctReturn;LogReturn;Body;Shadow_Lower;Shadow_Upper;Body_Relative;Shadow_Lower_Relative;Shadow_Upper_Relative;Volatility_Anual;Volatility_Month;Last_Returns_10;Trend5;Trend9;Trend14;Trend20;Momentum_10;Momentum_10_SMA_9;OBVsign;OBV;OBV_Trend5;OBV_Trend14;ADX14;ADX14_Trend5;ADX14_Trend14;ATR14;ATR14_Trend5;ATR14_Trend14;SMA3;SMA8;SMA20;SMA20_STD;SMA200;Bollinger_Sup;Bollinger_Inf;Bollinger_Sup%;Bollinger_Inf%;Bollinger_Spread;Bollinger_Spread_Trend5;Bollinger_Spread_Trend14;IFR_2;IFR;IFR_Trend5;IFR_Trend14;EMA9;EMA9%;EMA9_Trend9;EMA12;EMA21;EMA21%;EMA26;EMA50;EMA50%;EMA50_Trend14;EMA200;EMA200%;MACD;MACD_Signal;MACD_Hist;MACD_Hist_Trend5;MACD_Hist_Trend14;SMA9_VOLUME;SMA20_VOLUME;SMA200_VOLUME;SMA9_VOLUME%;SMA20_VOLUME%;STOCHASTIC_K_FAST;STOCHASTIC_D_FAST;STOCHASTIC_K_SLOW;STOCHASTIC_D_SLOW;STO_Trend5;STO_Trend14;#Romp_EMA9_Bear;#Romp_EMA9_Bull;#Romp_EMA9;#Romp_EMA50_Bear;#Romp_EMA50_Bull;#Romp_EMA50;#MACDH_Change_Bear;#MACDH_Change_Bull;#MACDH_Change;#EMA9_Change_Bear;#EMA9_Change_Bull;#EMA9_Change;#Trend_Divergence_Bear;#Trend_Divergence_Bull;#Trend_Divergence;#IFR2_Bear;#IFR2_Bull;#IFR2;#AGULHADA;#INSIDEBAR_Bull;#INSIDEBAR_Bear;#INSIDEBAR;Stock
2022-05-04;108382.0;104933.0;106529.0;108344.0;0.0;108344.0;106528.0;0.01704716130970252;0.016903488960455685;1815.0;1596.0;38.0;0.01689369999953461;0.8793388429752066;0.0209366391184573;0.19518040128894576;0.17564299095168617;-0.06011630738912842;-75.50630818387634;-76.022642902646;-82.01960326179724;-80.83855378719899;-6000.0;-7745.0;0.0;150990000.0;-86.20475050229058;-83.57090550857563;30.260687065830343;84.25363017214288;85.98305314830603;2079.4285714285716;78.3877685375226;73.7782582287634;107170.33333333333;108444.125;113204.0;4425.461581634404;112399.78;122054.9231632688;104353.0768367312;-0.12654990736237173;0.03683566384173376;0.15637120884895944;73.2130615781936;82.43232115351536;55.872956706302794;34.189914459383985;78.53169349257638;-85.27259390943244;109224.26176497093;-0.008124693245319798;-82.6083690141493;110107.8970637392;111935.65799948636;-0.03315050209966733;112487.940539219;113083.11108414059;-0.04374133393764851;-65.00024370302407;112642.35987726139;-0.03967326180740412;-2380.04347547979;-1559.5315137045618;-820.511961775228;80.57687041098069;-76.12539909310811;10211277.777777778;10120010.0;11005377.0;-1.0;-1.0;27.516940948693126;15.967367268533772;15.967367268533772;10.679817604748637;67.11860530514137;-52.352488161781466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^B
2022-05-04;82.18000030517578;79.8499984741211;81.93000030517578;81.80999755859375;34032200.0;81.80999755859375;82.5;-0.008363665956439448;-0.008398837657422914;0.12000274658203125;1.9599990844726562;0.25;0.0014657719329136995;16.33295187233772;2.0832856507088815;0.361927884812641;0.3598898605543732;-0.06929437099705625;-76.7962535173801;73.61101344292788;-80.56104128045624;-82.22512736784063;-3.5900039672851562;-10.485556708441841;-34032200.0;581872300.0;-86.1597053608532;-82.22279726834648;20.238897432920187;-65.49708398597966;85.93830630969788;3.1178561619349887;28.203594500843458;69.58183560822326;82.40999857584636;81.74624919891357;87.74349975585938;6.417759034663202;82.81736345291138;100.57901782518579;74.90798168653296;-0.22942208564606467;0.08436641092816856;0.2925690929821676;2.6950048205807384;88.16318944201734;33.17783166370495;34.341991451578124;-83.37459301666173;43.16988079143506;83.30411717789933;-0.018263288887589373;-78.05695549944072;84.19602340942672;86.50720982623622;-0.05741611548488612;87.32659043979432;88.24523977114622;-0.07866082880571454;-69.1063707829328;83.6906163419612;-0.022987640135553367;-3.130567030367601;-2.6450790067941257;-0.4854880235734753;88.35754551081236;62.22365848675066;40097277.777777776;30854135.0;27893164.0;-0.15125909073904986;0.1030028876194391;25.356280116633716;27.526058530886754;27.526058530886754;28.947842615166905;81.49155826418065;57.32824775817697;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VALE3
2022-05-04;3.069999933242798;2.75;2.8299999237060547;3.0199999809265137;53052600.0;3.0199999809265137;2.859999895095825;0.05594408800680317;0.054435236919075224;0.19000005722045898;0.07999992370605469;0.04999995231628418;0.06495728557875684;0.42105210322768466;0.26315756451730293;0.5782522066771906;0.4860689134702747;-0.12145549139466032;-35.803814174730704;-43.883456064025786;-55.88970598116637;-60.039458355706216;-0.25;-0.47888890902201336;53052600.0;425662700.0;-79.42474529481909;-58.647996297791714;30.074455922323004;86.24934703237803;85.06377911531978;0.17714287553514754;-57.63158209754749;-56.802101571391724;2.9299999872843423;3.0187499821186066;3.3385000109672545;0.33977200704024824;6.55575001835823;4.018044025047751;2.6589559968867578;-0.33047816239225436;0.11955098884768545;0.4070954092245842;-79.6894152836028;78.16175760396123;59.09760762541882;35.39686108838998;83.69760907993056;-79.1318981925477;3.0625897526648718;-0.014102573512365343;-58.70488720850978;3.1274701419121294;3.2858447913380915;-0.08802808347370207;3.351556998611228;3.61776264982021;-0.1979346598241723;-46.14222409822618;6.336909089135704;-1.0983142811781035;-0.22408685669909856;-0.18705707170077504;-0.03702978499832352;63.93798737826297;24.105280371344556;50898233.333333336;54875085.0;47037404.0;0.042326943895236724;-0.0332115203101736;31.764707202317542;13.952621700892209;13.952621700892209;7.2329896560853735;49.67960543968756;-60.69138343407647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VIIA3
2022-05-04;32.16999816894531;30.399999618530273;30.600000381469727;32.06999969482422;109417000.0;32.06999969482422;30.25;0.060165279167742725;0.05842481971228592;1.4699993133544922;0.20000076293945312;0.09999847412109375;0.04691237630652392;0.13605500432721815;0.06802620464692624;0.34791497937726;0.35324962585834685;0.013182867651707196;83.49090868157167;69.34668183081665;-58.9618768790451;-7.863275349619261;0.2700004577636719;-0.8787197536892362;109417000.0;2295053900.0;78.59208919548337;-13.907279898088351;16.55533219963451;-65.99193874041553;79.94868353644465;1.195784432547433;-85.85039823124454;-85.89169721741324;30.766666412353516;30.383749961853027;30.720379161834718;0.744682625848791;25.66268563270569;32.2097444135323;29.231013910137136;-0.004357490490735285;0.08852465892431133;0.09696268681135846;38.248756257552806;-58.499728509292865;90.2875656352735;66.57098122449536;88.15833989001067;-82.2867374204934;30.6869449119978;0.04312612397840564;-59.43752520130301;30.64870067497315;30.535194348655345;0.04785797819688087;30.46530515151673;30.04012262174247;0.06329520088549771;43.49305733041526;26.470609190009956;0.17459901958520907;0.18339552345641863;0.1857119551464978;-0.002316431690079168;83.39011214823017;-83.50993629017464;65062977.777777776;70230585.0;75370664.5;0.6817090723039627;0.5579679423145913;50.091409781875306;26.26447292488633;26.26447292488633;17.911500789299783;66.9446297936501;32.85261941946739;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;PETR4
2022-05-04;18.40999984741211;17.799999237060547;17.920000076293945;18.329999923706055;54528700.0;18.329999923706055;18.06999969482422;0.01438850211803322;0.014285969973764507;0.4099998474121094;0.12000083923339844;0.07999992370605469;0.022620681236530174;0.29268508266731175;0.19512183775435202;0.30337645227669524;0.2255702241482594;-0.06440223735797951;57.04865662917251;-79.26359131545613;-80.87831713051632;-74.10163201159803;-1.1494102478027344;-1.0922787984212239;54528700.0;591160822.0;39.55143173189313;-82.98541003698617;20.43243728449983;84.42466698349777;82.96715029814588;0.4932500294276646;58.32835177876617;49.88388444820687;18.117008209228516;18.27798891067505;18.957736110687257;0.6239384608187761;19.144275932312013;20.20561303232481;17.709859189049705;-0.10232477449129924;0.033832009669259505;0.13164830593185356;73.9320096436345;77.49120367103988;63.528879505704836;37.94431397161456;87.10832865586227;-86.61366016539269;18.412931838902086;-0.0045243816443652045;-81.52984854717565;18.54929697960538;18.823317782039616;-0.026913140228416337;18.909338383931065;19.052178915944076;-0.03939874496693436;-51.067961491983304;19.26039392948787;-0.050757992888943886;-0.36004140432568477;-0.23000410913051222;-0.13003729519517254;79.9927149605509;-81.02881239636987;53947111.11111111;42943707.0;48181514.55;0.0107807235069739;0.2697716105412138;26.31579827953859;16.974059229849683;16.974059229849683;10.010272194982024;-70.01134261234552;-81.93649516117985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BBDC4
2022-05-04;23.790000915527344;23.399999618530273;23.760000228881836;23.690000534057617;38203800.0;23.690000534057617;23.8700008392334;-0.007540858770307524;-0.007569434794955671;0.06999969482421875;0.29000091552734375;0.030000686645507812;0.0029504612728643667;4.142888283378746;0.42858310626702995;0.3337006329017457;0.17258393014184722;-0.0926883739744179;-76.55741684733269;-83.79289553826263;-83.52883797796571;-81.27506798362653;-2.47064208984375;-1.9105008443196614;-38203800.0;417500.0;-85.81247569143855;-86.20706101110288;30.180517514674225;86.22699702650908;85.58546206198463;0.6209114619663784;69.82966149750143;64.62383148250815;23.770000457763672;24.269887685775757;25.512260723114014;1.1394357284263807;25.51117155075073;27.791132179966777;23.233389266261252;-0.1731165704286592;0.019274430456002904;0.17864911946342044;83.2722829370758;84.17030394690585;14.196600262621573;18.825372433498814;38.003271159937945;-87.05636969986372;24.39781962028952;-0.029878390471723176;-83.97844259115936;24.668510065175106;25.195479706654094;-0.06354914050897317;25.34649145579173;25.455055893847796;-0.0745063452933515;-56.67496238868235;25.512991016971576;-0.0769518970796628;-0.6779813906166225;-0.4025740091972748;-0.27540738141934773;73.60617473054727;-79.1083988934585;35522933.333333336;31756095.0;37575190.0;0.07546861745651623;0.20303834586714764;9.034293642470283;10.140525307842498;10.140525307842498;7.49127764045155;17.984023606402268;-61.57005100671105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITUB4
2022-05-04;4.96999979019165;4.369999885559082;4.519999980926514;4.949999809265137;141540000.0;4.949999809265137;4.599999904632568;0.0760869373671269;0.07333125528530375;0.42999982833862305;0.15000009536743164;0.019999980926513672;0.09081305973923805;0.34883757034737045;0.04651160211804497;0.6651295287540545;0.49967491631491395;-0.18232160495932503;-61.93812011573964;-68.14047528072892;-70.44745521846382;-69.73575750685134;-0.6600003242492676;-0.9488889376322428;141540000.0;-1377993400.0;-84.47232856741158;-85.48226611412696;26.324125978826775;87.45400251910611;84.4087846080431;0.30000005449567524;-61.72545247627913;-74.30166115713611;4.7833333015441895;5.01624995470047;5.6714999914169315;0.6484254135412074;10.923650016784668;6.968350818499347;4.3746491643345164;-0.4077476943446284;0.11623245800004085;0.4573219885550659;72.28621438190655;85.03305085482768;54.08726593975506;34.50172232476723;83.15399296436331;-85.27005388613192;5.0940896020433035;-0.02910905016773283;-71.61963844803385;5.226715786249236;5.51474226909028;-0.11408939021938735;5.6198177399427625;5.980788049312422;-0.20824005651836852;-50.0660629353787;10.098868875320647;-1.0401756089804572;-0.3931019536935265;-0.2868336058029395;-0.10626834789058703;70.98366755686497;-65.99657051881358;102628066.66666667;105849125.0;89578329.5;0.37915489005281855;0.337186301728994;32.222214569280986;12.492008903867427;12.492008903867427;6.344110933663962;77.22724338116606;-81.42476430596949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MGLU3
2022-05-04;2.5199999809265137;2.319999933242798;2.4100000858306885;2.490000009536743;38950700.0;2.490000009536743;2.4200000762939453;0.028925591337169543;0.028515142611615328;0.07999992370605469;0.09000015258789062;0.029999971389770508;0.032653029448586494;1.125002980235081;0.375;0.5558971422489589;0.5552302847354162;-0.14202927559001077;-42.322783879925694;-44.48203876163238;-55.3944543628307;-53.40721729117484;-0.1700000762939453;-0.24777780638800728;38950700.0;-2475827200.0;-66.16306828221443;-53.44957127493137;18.692637608832804;-83.2702012884346;-86.49445820416938;0.15928569861820766;-47.52053999770717;-41.521955907540104;2.450000047683716;2.5174999833106995;2.6679999947547914;0.16372633261893935;2.7463500022888185;2.99545265999267;2.340547329516913;-0.2029930315341504;0.06002115640458796;0.24546676602821652;64.0849461484658;-82.76252806458693;52.7671390615117;42.685846571567474;-69.97689044570346;-84.34027649884023;2.5276577257906405;-0.0151235807669348;-53.97881485456842;2.55453367987395;2.586808007009102;-0.03887871369541474;2.5855902814797735;2.5485462043321108;-0.023512527940214724;3.0881217533213734;2.8945508204762627;-0.16247020457433048;-0.031056601605823353;0.013350230135177155;-0.044406831741000505;-0.02378268803510233;-64.76720690499533;32903211.111111112;42122960.0;37913588.5;0.18379631302449706;-0.07530952240773203;27.868858866394167;12.470555285288286;12.470555285288286;8.222252498087295;-87.13992012457494;-87.21166971704893;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;COGN3
2022-05-04;12.720000267028809;12.109999656677246;12.430000305175781;12.649999618530273;44906500.0;12.649999618530273;12.550000190734863;0.007968081774949676;0.007936504242029267;0.2199993133544922;0.32000064849853516;0.07000064849853516;0.01754380494607139;1.4545529420944487;0.3181857589970783;0.39013570612576076;0.28147579623257146;-0.13924628446396592;-85.70724549032776;-84.97921160444531;-83.39553018244652;-83.31015904534543;-2.0399999618530273;-1.427777926127116;44906500.0;-687455600.0;-84.97041156098645;-81.76753079130152;31.262062293432155;87.37365485160159;81.39222965997159;0.4828570229666574;-8.131074866497167;13.667984427240366;12.666666666666666;13.264999985694885;14.275500011444091;1.0316337670889948;13.228037295341492;16.33876754562208;12.212232477266102;-0.29160221646871337;0.03460609916722136;0.28906413541017134;85.79528629884696;82.9588386263754;17.572283161986036;21.10428618505479;-86.76336683274732;-86.5401622590667;13.30817842392982;-0.052029946659873275;-84.91708147372066;13.526333537923575;13.918803152473028;-0.10030067764461874;14.02086207559137;14.04920210133129;-0.11060889525651865;-59.12577223463;13.853280675369913;-0.09512103502967861;-0.4945285376677955;-0.24816210897614752;-0.24636642869164796;-81.67979252961601;-78.38544048193177;41138311.11111111;42893775.0;42571708.0;0.09159804540131278;0.046923475492655964;19.424454261722474;10.320294561544971;10.320294561544971;6.787053176744233;65.32269409711094;-79.8267878660815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B3SA3
2022-05-04;34.779998779296875;33.20000076293945;33.540000915527344;34.63999938964844;13046000.0;34.63999938964844;33.65999984741211;0.029114662705848948;0.02869888184493683;1.0999984741210938;0.3400001525878906;0.1399993896484375;0.032267482229318474;0.30909147656732255;0.1272723489551183;0.27959143646535567;0.29790166974850285;-0.016321041090662736;74.5525837013149;-60.63784311748608;-74.49531887782898;-41.01422955694754;-0.5200004577636719;-1.1966667175292969;13046000.0;140719400.0;-12.24678422560829;-76.16627399529783;15.51337559301505;-82.06803830647402;-71.36471219177729;1.047142846243722;64.01674146406145;52.693807515140826;33.75999959309896;33.89999961853027;34.45499973297119;0.8571770457415587;30.48897342681885;36.169353824454305;32.74064564148807;-0.04414995559332742;0.05483122926174052;0.09951264575646426;73.07210943159072;58.021018108676266;75.82995301433667;53.97134833473188;87.5499205635315;-85.96280216590495;34.06457805864049;0.016611470587378236;-74.75078262745946;34.15679698188299;34.286083323875125;0.010216976674632209;34.278653925519805;33.862192771160394;0.02245400208409002;29.95054897132722;31.537153783651256;0.08957406641653733;-0.12185694363681421;0.023318600596069446;-0.14517554423288365;60.23388601674873;-80.81115913746738;12200544.444444444;13192740.0;13889784.5;0.06929654323258805;-0.011122784197975522;50.843369507067756;29.63856292900009;29.63856292900009;18.367431773777557;-82.11142727000245;-85.76571242185899;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;BBAS3
